,product_name,product_index,product_type,median_rates,mean_rates,no_of_rates
239,5K Dual 4K DisplayLink USBC 多功能擴展基座 HDMI / DisplayPort 輸出 千兆網口 USB hub UG69DK1 原裝行貨 一年保養,H6781001_S_WL-UG69DK1,laptop,0.0,0.0,0.0
240,"15 R4 (i7/16G/1T+256G/GTX1070OC/15.6"")",H0661010_S_ALW15C-R5782-B-W10,laptop,0.0,0.0,0.0
241,IDEAPAD 330S-15IKB  筆記型電腦,S1076001_S_192940033245,laptop,0.0,0.0,0.0
242,"SF515 15.6"" IPS FHD i5-8265u 8G 256G SHARE Win10 Home (藍色)",H6603001_S_Acer_SF515_51T_570G_NX_H69CF_001,laptop,0.0,0.0,0.0
243,MSI GF63 8RC 電競筆電,H6628001_S_GF63-8SC,laptop,0.0,0.0,0.0
244,IdeaPad S145 14吋 獨顯 i5 8G 256 SSD 手提電腦 (81MU00B8HH),H5023002_S_81MU00B8HH,laptop,0.0,0.0,0.0
245,ST-PLUS-X01 15.6吋 專業電競筆電 i7-7700HQ GTX1050 256GB SSD + 1000GB HDD,H0800001_S_ST-PLUS-X01,laptop,0.0,0.0,0.0
246,"Inspiron 13-5370 Pink (i3/8G/256G/13.3"" IPS)",H0661010_S_13L-R2500-P-W10,laptop,0.0,0.0,0.0
247,"AVITA 13"" N4200 手提電腦 (澄空藍  )",H5899002_S_NS13A1HK093P,laptop,0.0,0.0,0.0
248,C340-14IWL (81N4005FHH) 筆記型電腦,S1076001_S_193386457664,laptop,0.0,0.0,0.0
249,C340-14IWL (81N4005FHH) 筆記型電腦,S1076001_S_193386457664,laptop,0.0,0.0,0.0
250,"Swift 3 筆記型電腦 (14"", i5-8265U, 8GB RAM, 512GB SSD, MX250, Win10 Home) SF314-55G-59BG",H0762001_S_Acer-SF314-55G-59BG-007160326,laptop,0.0,0.0,0.0
251,"Inspiron 13-5370 Silver (i3/8G/256G/13.3"" IPS)",H0661010_S_13L-R2500-S-W10,laptop,0.0,0.0,0.0
252,"U758K501B 日本制造手提電腦 15.6"" 4K Mon  i5-8250 8GB 256GB WIN10 Home",H0800001_S_U758K501B,laptop,0.0,0.0,0.0
253,LENOVO L340-15IWL (81LG00GQHH) 手提電腦,S1076001_S_193386930013,laptop,0.0,0.0,0.0
254,"AVITA 12.5"" i5-7Y54 手提電腦 (天使藍)",H5899002_S_NS12A1HK001P,laptop,0.0,0.0,0.0
255,"AVITA 13"" M3-7Y30 手提電腦 (都市紅 )",H5899002_S_NS13A1HK008P,laptop,0.0,0.0,0.0
256,"Inspiron 15-7580 (i5/8G/1T+128G/MX250/15.6"")",H0661010_S_15KMLK-R2522H-S-W10,laptop,0.0,0.0,0.0
257,"AVITA 12.5"" i5-7Y54 手提電腦 (丁香紫)",H5899002_S_NS12A1HK003P,laptop,0.0,0.0,0.0
258,"Swift 3 筆記型電腦 (13.3"", i5-8250U, 8GB RAM, 512GB SSD, Win10 Home) SF313-51-52CA",H0762001_S_Acer-SF313-51-52CA-007160323,laptop,0.0,0.0,0.0
259,Blade15-i7-RTX2060 電競筆電,H6628001_S_Blade15-i7-RTX2060,laptop,0.0,0.0,0.0
260,"U938T701B 日本制造13.3""手提電腦",H0800001_S_U938T701B,laptop,0.0,0.0,0.0
261,YOGA S730 13.3吋 8代i7 多模式鋁金屬纖薄電腦 (81J0002UHH) - 全新機,H5023002_S_81J0002UHH,laptop,0.0,0.0,0.0
262,"13-inch MacBook Pro, 2.4GHz i5, 256GB (2019) - 銀色 #HK行貨",G5031001_S_MV992,laptop,0.0,0.0,0.0
263,"2018 MacBook Pro 15"" 觸控欄 256GB 太空灰",H5866001_S_MR932ZP,laptop,0.0,0.0,0.0
264,XPS15-9570-R1542-S-W10P,H6934001_S_XPS15-9570-R1542-S-W10P,laptop,0.0,0.0,0.0
265,"Notebook 5 筆記型電腦 (15.6"", i7-8565U, 16GB RAM, 1TB HDD, 256GB SSD, MX150, Win10 Home) NP550XBE-X01HK",H0762001_S_NP550XBE-X01HK-800160315,laptop,0.0,0.0,0.0
266,GT75-8SG-4K-I9,H6628001_S_GT7-8SG-4K-I9,laptop,0.0,0.0,0.0
267,MSI GF63 8RD 窄邊框電競筆電,H6628001_S_GF63-8RD,laptop,0.0,0.0,0.0
268,"17 R5 (i7/16G/1T+256G/GTX1060OC/17.3"")",H0661010_S_ALW17C-R5762-S-W10,laptop,0.0,0.0,0.0
269,"Inspiron 15-7580 (i7/8G/1T+128G/MX250/15.6"")",H0661010_S_15KMLK-R2722-S-W10,laptop,0.0,0.0,0.0
270,PS42-MODERN-8MO-I5,H6628001_S_PS42-8MO,laptop,0.0,0.0,0.0
271,"Area-51m(i9/32G/RAID0@1T+1T/RTX2080/17.3"")",H0661010_S_ALWA51M-R1982-W-W10,laptop,0.0,0.0,0.0
272,ThinkPad X390 13.3吋 8代i7 16G 極致靈巧商務手提電腦 (20Q0S05E00) - 全新機,H5023002_S_20Q0S05E00,laptop,0.0,0.0,0.0
273,IP S530-13IWL (81J7001MHH) 手提筆記型電腦,S1076001_S_193268289352,laptop,0.0,0.0,0.0
274,"SF515 15.6"" IPS FHD i7-8565u 16G 512G SHARE Win10 Home (銀色)",H6603001_S_Acer_SF515_51T_7024_NX_H7QCF_002,laptop,0.0,0.0,0.0
275,Yoga 920 8代 i7 星球大戰特別版(銀河帝國) (80Y8001WHH) - 開箱機,H5023001_S_80Y8001WHH,laptop,0.0,0.0,0.0
276,"XPS13-9380 (i5/8G/256G SSD/13.3"")",H0661010_S_XPS13-9380-R1500-S-W10,laptop,0.0,0.0,0.0
277,"2018 MacBook Pro 13"" 觸控欄 256GB 銀色",H5866001_S_MR9U2ZP,laptop,0.0,0.0,0.0
278,Yoga 920 8代 i7 星球大戰特別版(反抗軍) (80Y8001XHH) - 開箱機,H5023001_S_80Y8001XHH,laptop,0.0,0.0,0.0
279,LENOVO L340-17IWL (81M0005MHH) 手提電腦,S1076001_S_193638388005,laptop,0.0,0.0,0.0
280,"XPS13-9380 (i7/8G/256G SSD/13.3"")",H0661010_S_XPS13-9380-R1700-S-W10,laptop,0.0,0.0,0.0
281,Latitude 3400 i5-8265U/8G/256G SSD (現貨),H6202001_S_Lat3400-i5-8G-256GSSD,laptop,0.0,0.0,0.0
282,"AVITA 12.5"" i5-7Y54 手提電腦 (澄空藍  )",H5899002_S_NS12A1HK005P,laptop,0.0,0.0,0.0
283,"2018 MacBook Pro 13"" 觸控欄 512GB 銀色連 AppleCare+ 3年保養服務",H5866001_S_MR9V2ZPAC,laptop,0.0,0.0,0.0
284,"SF515 15.6"" IPS FHD i5-8265u 8G 256G SHARE Win10 Home (銀色)",H6603001_S_Acer_SF515_51T_57PL_NX_H7QCF_001,laptop,0.0,0.0,0.0
285,"ASUS UX431FN-SP8502T 14"" IPS 1920x1080 i7-8565u 16G 512G MX150-2G Win10 Home",H6603001_S_ASUS_UX431FN_SP8502T,laptop,0.0,0.0,0.0
286,Yoga 720 7代 i5 方便易攜效能強勁筆電 (80X6000WHH) - 全新機,H5023002_S_80X6000WHH_BN,laptop,0.0,0.0,0.0
287,LENOVO S145-14IWL (81MU00B7HH) 手提電腦,S1076001_S_193638012245,laptop,0.0,0.0,0.0
288,IdeaPad 330-17IKB (81DM005PHH) 手提電腦【入優惠碼 “R4CP350” 即時再減】,H5899001_S_81DM005PHH,laptop,0.0,0.0,0.0
289,"Notebook 7 筆記型電腦 (15.6"", i7-8565U, 16GB RAM, 512GB SSD, MX250, Win10 Home) NP750XBE-X02HK",H0762001_S_NP750XBE-X02HK-800160317,laptop,0.0,0.0,0.0
290,LENOVO S340-14IWL (81N7007VHH) 手提電腦,S1076001_S_193386457251,laptop,0.0,0.0,0.0
291,LENOVO L340-17IWL (81M0005QHH) 手提電腦,S1076001_S_193638388029,laptop,0.0,0.0,0.0
292,LENOVO L340-15IWL (81LG00HPHH) 手提電腦,S1076001_S_193638012238,laptop,0.0,0.0,0.0
293,MSI GS75 Stealth 9SD 電競筆電,H6628001_S_GS75-9SD,laptop,0.0,0.0,0.0
294,GE63 RAIDER RGB 8SE,H6628001_S_GE63-8SE,laptop,0.0,0.0,0.0
295,"AVITA 12.5"" i5-7Y54 手提電腦 (烗彩綠)",H5899002_S_NS12A1HK004P,laptop,0.0,0.0,0.0
296,"XPS13-9380 (i7/16G/512G SSD/13.3"")",H0661010_S_XPS13-9380-R1700HW-W-W10,laptop,0.0,0.0,0.0
297,"Notebook 7 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, MX250, Win10 Home) NP750XBE-X01HK",H0762001_S_NP750XBE-X01HK-800160316,laptop,0.0,0.0,0.0
298,13 吋 MacBook Pro 2.3GHz 處理器 256GB 儲存空間 銀色 (選取除舊服務),H5866001_S_MPXU2ZP,laptop,0.0,0.0,0.0
299,XPS15-7590-R1940UO-S-W10,H6934001_S_XPS15-7590-R1940UO-S-W10,laptop,0.0,0.0,0.0
300,"(14"" i5 8GB 256GB SSD Win10 Pro) Nexstgo NX101 筆記簿型電腦 (NP14N1HK001P)",H0762001_S_NP14N1HK001P-140160067,laptop,0.0,0.0,0.0
301,"2018 MacBook Pro 15"" 觸控欄 512GB 銀色連 AppleCare+ 3年保養服務",H5866001_S_MR972ZPAC,laptop,0.0,0.0,0.0
302,DisplayLink USB-C 5K輸出多功能擴展基座 HDMI / DisplayPort 雙4K輸出 千兆網口,H6781001_S_WL-UG69DK7,laptop,0.0,0.0,0.0
303,"Area-51m(i7/16G/1T+256G/RTX2060/17.3"")",H0661010_S_ALWA51M-R1762-B-W10,laptop,0.0,0.0,0.0
304,Gigabyte AORUS 5,H5189001_S_AORUS5,laptop,0.0,0.0,0.0
305,Gigabyte AORUS 15-SA,H5189001_S_AORUS15-SA,laptop,0.0,0.0,0.0
306,Inspiron 14 3480 黑色,H6934001_S_Ins3480-R1300HD-S-W10,laptop,0.0,0.0,0.0
307,"Area-51m(i9/32G/RAID0@1T+1T/RTX2080/17.3"")",H0661010_S_ALWA51M-R1982-B-W10,laptop,0.0,0.0,0.0
308,IdeaPad 330-17IKB (81DM005NHH) 手提電腦,H5899001_S_81DM005NHH,laptop,0.0,0.0,0.0
309,ALWA51M-R1982-W-W10,H6934001_S_ALWA51M-R1982-W-W10,laptop,0.0,0.0,0.0
310,PS42-MODERN-8RC I7,H6628001_S_PS42-8RC,laptop,0.0,0.0,0.0
311,"XPS13-9380 (i7/8G/256G M.2 SSD/13.3"")",H0661010_S_XPS13-9380-R1700W-W-W10,laptop,0.0,0.0,0.0
312,Gigabyte AORUS 15-XA,H5189001_S_AORUS15-XA,laptop,0.0,0.0,0.0
313,P65-9SE-4K,H6628001_S_P65-9SE-4K,laptop,0.0,0.0,0.0
314,Gigabyte AORUS 7,H5189001_S_AORUS7,laptop,0.0,0.0,0.0
315,"MSI GS65 Stealth 8SF (GeForce® RTX2070 with Max-Q Design, 8GB GDDR6) Gaming Notebook",H6629001_S_MS-NB-GS658SF-I7-16GS-207,laptop,0.0,0.0,0.0
316,LENOVO L340-15IRH (81LK004CHH) 手提電腦,S1076001_S_193386667605,laptop,0.0,0.0,0.0
317,"2018 MacBook Pro 13"" 觸控欄 512GB 太空灰連AppleCare+ 3年保養服務",H5866001_S_MR9R2ZPAC,laptop,0.0,0.0,0.0
318,"13-inch MacBook Pro, 2.4GHz i5, 512GB (2019) - 太空灰 #HK行貨",G5031001_S_MV972,laptop,0.0,0.0,0.0
319,PS63-MODERN-8RC,H6628001_S_PS63-8M,laptop,0.0,0.0,0.0
320,GT75 Titan 9SG i9 電競筆電,H6628001_S_GT75-9SG-i9,laptop,0.0,0.0,0.0
321,Gigabyte AERO 15 XA i7 240Hz,H5189001_S_AERO15-XA-i7-240Hz,laptop,0.0,0.0,0.0
322,LENOVO IDEACENTRE A340-22ICB (PF0E9006QHH) 手提電腦,S1076001_S_31PF0E9006QHH,laptop,0.0,0.0,0.0
323,Legion Y720 i7 16G 強勁遊戲手提電腦 (80VR00AQHH) - 全新機,H5023002_S_80VR00AQHH_BN,laptop,0.0,0.0,0.0
324,MSI GS65 8SE Stealth 電競輕薄筆電,H6628001_S_GS65-8RE,laptop,0.0,0.0,0.0
325,GS75 Stealth 9SG 電競筆電,H6628001_S_GS75-9SG,laptop,0.0,0.0,0.0
326,MSI GS75 Stealth 9SE 電競筆電,H6628001_S_GS75-9SE,laptop,0.0,0.0,0.0
327,"M15 (i7/16G/1T+256G/RTX2060/15.6"")",H0661010_S_ALW15M-R2762-S-W10,laptop,0.0,0.0,0.0
328,P65-CREATOR-9SF,H6628001_S_P65-9SF,laptop,0.0,0.0,0.0
329,"MSI GS65 Stealth 8SE (GeForce® RTX 2060 ,GDDR6 6GB) Gaming Notebook",H6629001_S_MS-NC-GS658SE-I7-16GS-206,laptop,0.0,0.0,0.0
330,"M15 (i9/32G/1T/RTX2080/15.6"")",H0661010_S_ALW15M-R2980-S-W10,laptop,0.0,0.0,0.0
331,"Notebook 7 Force 筆記型電腦 (15.6"", i7-8565U, 16GB RAM, 512GB SSD, GTX1650, Win10 Home) NP760XBE-X01HK",H0762001_S_NP760XBE-X01HK-800160318,laptop,0.0,0.0,0.0
332,(15 MX150 i7 8GB 256GB NVMe SSD Win10) Notebook 9 Always (NP950XBE-X01HK) 筆記簿型電腦,H0762001_S_NP950XBE-X01HK-800160311,laptop,0.0,0.0,0.0
333,"2018 MacBook Pro 15"" 觸控欄 512GB 太空灰",H5866001_S_MR942ZP,laptop,0.0,0.0,0.0
334,"2018 MacBook Pro 15"" 觸控欄 512GB 太空灰連 AppleCare+ 3年保養服務",H5866001_S_MR942ZPAC,laptop,0.0,0.0,0.0
335,"2018 MacBook Pro 15"" 觸控欄 256GB 銀色連 AppleCare+ 3年保養",H5866001_S_MR962ZPAC,laptop,0.0,0.0,0.0
336,"2018 MacBook Pro 13"" 觸控欄 512GB 太空灰",H5866001_S_MR9R2ZP,laptop,0.0,0.0,0.0
337,"2018 MacBook Pro 13"" 觸控欄 256GB 銀色 AppleCare+ 3年保養",H5866001_S_MR9U2ZPAC,laptop,0.0,0.0,0.0
338,"13-inch MacBook Pro, 2.4GHz i5, 256GB (2019) - 太空灰 #HK行貨",G5031001_S_MV962,laptop,0.0,0.0,0.0
339,ALWA51M-R1782H-B-W10,H6934001_S_ALWA51M-R1782H-B-W10,laptop,0.0,0.0,0.0
340,Gigabyte AERO 15 OLED-YA,H5189001_S_AERO15-YA,laptop,0.0,0.0,0.0
341,Gigabyte AERO 15 OLED-XA i7,H5189001_S_AERO15-XA-i7,laptop,0.0,0.0,0.0
342,Gigabyte AERO 17 WA 144Hz,H5189001_S_AERO-17-WA,laptop,0.0,0.0,0.0
343,Gigabyte AERO 17 SA 144Hz,H5189001_S_AERO-17-SA,laptop,0.0,0.0,0.0
344,Inspiron 14 3480 銀色,H6934001_S_Ins3480-R1300HD-B-W10,laptop,0.0,0.0,0.0
345,"MSI GS75 Stealth 8SE (GeForce® RTX 2060 ,GDDR6 6GB) Gaming Notebook",H6629001_S_MS-NB-GS758SE-I7-16GS-206,laptop,0.0,0.0,0.0
346,"M15 (i9/32G/1T/RTX2080/15.6"")",H0661010_S_ALW15M-R2980-R-W10,laptop,0.0,0.0,0.0
347,ThinkPad X390 13.3吋 8代i5 16G 極致靈巧商務手提電腦 (20Q0S05D00) - 全新機,H5023002_S_20Q0S05D00,laptop,0.0,0.0,0.0
348,13 吋 MacBook Pro 2.3GHz 處理器 256GB 儲存空間 銀色 (選取除舊服務),H5866001_S_MPXT2ZPAPPLECARE,laptop,0.0,0.0,0.0
349,"2018 MacBook Pro 15"" 觸控欄 256GB 太空灰 AppleCare+ 3年保養服務",H5866001_S_MR932ZPAC,laptop,0.0,0.0,0.0
350,"2018 MacBook Pro 15"" 觸控欄 512GB 銀色",H5866001_S_MR972ZP,laptop,0.0,0.0,0.0
351,"2018 MacBook Pro 13"" 觸控欄及 Touch ID 銀色",H5866001_S_MR9V2ZP,laptop,0.0,0.0,0.0
352,GT75 Titan 9SF i7 電競筆電,H6628001_S_GT75-9SF,laptop,0.0,0.0,0.0
353,IdeaPad Y900-17ISK 4核心 Core i7 配GTX980M-8GB電競手提電腦(80Q10058HH) - 高質開盒產品,H5023001_S_80Q10058HH,laptop,0.0,0.0,0.0
354,IdeaPad Y900-17ISK 4核心 Core i7 配GTX980M-8GB電競手提電腦(80Q10058HH) - 高質開盒產品,H5023001_S_80Q10058HH,laptop,0.0,0.0,0.0
355,"2018 MacBook Pro 15"" 觸控欄 256GB 銀色",H5866001_S_MR962ZP,laptop,0.0,0.0,0.0
356,P65-CREATOR-9SF-4K,H6628001_S_P65-9SF-4K,laptop,0.0,0.0,0.0
357,GT75 Titan 9SG - i7 電競筆電,H6628001_S_GT75-9SG-i7,laptop,0.0,0.0,0.0
358,"Area-51m(i7/16G/1T+256G/RTX2060/17.3"")",H0661010_S_ALWA51M-R1762-W-W10,laptop,0.0,0.0,0.0
359,P75-CREATOR 9SF-4K-I9,H6628001_S_P75-9SF-4K-I9,laptop,0.0,0.0,0.0
360,GT75-TITAN-8SG-4K,H6628001_S_GT75-8SG-4K,laptop,0.0,0.0,0.0
361,Gigabyte AERO 15 Classic-SA,H5189001_S_AERO15-classic-SA,laptop,0.0,0.0,0.0
362,Gigabyte AERO 17 XA 144Hz,H5189001_S_AERO-17-XA,laptop,0.0,0.0,0.0
363,"M15 (i7/16G/1T+256G/RTX2070/15.6"")",H0661010_S_ALW15M-R2782-R-W10,laptop,0.0,0.0,0.0
364,"Area-51m(i7/16G/1T+256G/RTX2070/17.3"")",H0661010_S_ALWA51M-R1782-W-W10,laptop,0.0,0.0,0.0
365,"M17 (i9/16G/1T+512G/RTX2080/17.3""UHD)",H0661010_S_ALWM17-R1982-S-W10,laptop,0.0,0.0,0.0
366,LENOVO IDEACENTRE 510S-07ICB (90K800CEHH) 桌上型電腦       ,S1076001_S_90K800CEHH,laptop,0.0,0.0,0.0
367,LENOVO IDEACENTRE 510S-07ICB (90K800CUHH)桌上型電腦       ,S1076001_S_31P90K800CUHH,laptop,0.0,0.0,0.0
368,ALWA51M-R1782-W-W10,H6934001_S_ALWA51M-R1782-W-W10,laptop,0.0,0.0,0.0
369,ALWA51M-R1762-B-W10,H6934001_S_ALWA51M,laptop,0.0,0.0,0.0
370,GT75-8SG,H6628001_S_GT75-8SG,laptop,0.0,0.0,0.0
371,GE63-RAIDER-RGB-8SG,H6628001_S_GE63-8SG,laptop,0.0,0.0,0.0
372,Gigabyte AERO 15 OLED-XA i9,H5189001_S_AERO15-XA-i9,laptop,0.0,0.0,0.0
373,Gigabyte AERO 15 Classic-XA i7,H5189001_S_AERO15-classic-XA-i7,laptop,0.0,0.0,0.0
374,Inspiron 13 7000 2 合1 7386,H6934001_S_Ins7386-R1500T-S-W10,laptop,0.0,0.0,0.0
375,Inspiron 14 5000 2 合 1 i5,H6934001_S_Ins5482-R1520T-S-W10,laptop,0.0,0.0,0.0
376,"M15 (i7/16G/1T+512G/RTX2080/15.6"")",H0661010_S_ALW15M-R2782H-R-W10,laptop,0.0,0.0,0.0
377,"Area-51m(i7/16G/1T+256G/RTX2070/17.3"")",H0661010_S_ALWA51M-R1782-B-W10,laptop,0.0,0.0,0.0
378,"M17 (i7/16G/1T+256G/RTX2060/17.3"")",H0661010_S_ALWM17-R1762-S-W10,laptop,0.0,0.0,0.0
379,"M17 (i9/16G/1T+512G/RTX2080/17.3""UHD)",H0661010_S_ALWM17-R1982-R-W10,laptop,0.0,0.0,0.0
380,LENOVO IDEACENTRE A340-22ICB (PF0E9006LHH) 桌面電腦,S1076001_S_31PF0E9006LHH,laptop,0.0,0.0,0.0
381,14-ck0147TU 7NU36PA#AB5- 暖金色,H0661001_S_NBOHPA-14-ck0147TU,laptop,0.0,0.0,0.0
382,"M15 (i7/16G/1T+256G/RTX2060/15.6"")",H0661010_S_ALW15M-R2762-R-W10,laptop,0.0,0.0,0.0
383,"Area-51m(i7/16G/1T_RAID/RTX2080/17.3"")",H0661010_S_ALWA51M-R1782H-B-W10,laptop,0.0,0.0,0.0
384,"Area-51m(i7/16G/RAID0@1T/RTX2080/17.3"")",H0661010_S_ALWA51M-R1782H-W-W10,laptop,0.0,0.0,0.0
385,"M17 (i7/16G/1T+512G/RTX2080/17.3"")",H0661010_S_ALWM17-R1782H-S-W10,laptop,0.0,0.0,0.0
386,"Odyssey 2 筆記型電腦 (15.6"", 7-8750H, 16GB, 1TB HDD, 512GB SSD, RTX2060, Win10 Home) NP850XBC-X01HK",H0762001_S_NP850XBC-X01HK-800160319,laptop,0.0,0.0,0.0
387,(13.3 i5 8GB 256GB NVMe SSD Win10) Notebook 9 Always (NP930XBE-K01HK) 筆記簿型電腦,H0762001_S_NP930XBE-K01HK-800160308,laptop,0.0,0.0,0.0
388,GT75 Titan 9SF i7 4K 電競筆電,H6628001_S_GT75-9SF-i7-4K,laptop,0.0,0.0,0.0
389,GT75 Titan 9SG  - i7 4K 電競筆電,H6628001_S_GT75-9SG-i7-4K,laptop,0.0,0.0,0.0
390,GE75-Raider-9SG,H6628001_S_GE75-9SG,laptop,0.0,0.0,0.0
391,Gigabyte AERO 15 OLED-SA,H5189001_S_AERO15-SA,laptop,0.0,0.0,0.0
392,Gigabyte AERO 15-X9 i7,H5189001_S_AORUS15-X9-i7,laptop,0.0,0.0,0.0
393,Gigabyte AERO 15 Classic-WA,H5189001_S_AERO15-classic-WA,laptop,0.0,0.0,0.0
394,Ins5488-R1500-S-W10,H6934001_S_Ins5488-R1500-S,laptop,0.0,0.0,0.0
395,HP Pavilion 15-cs1074TX 5MX24PA#AB5 寶石藍色,H0661001_S_NBOHPA-15-cs1074TX,laptop,0.0,0.0,0.0
396,HP Pavilion 15-cs1074TX 5MX24PA#AB5 寶石藍色,H0661001_S_NBOHPA-15-cs1074TX,laptop,0.0,0.0,0.0
397,XPS13-9380-R1700W-3Y,H6934001_S_XPS13-9380-R1700W-3Y,laptop,0.0,0.0,0.0
398,Ins5580-R2520-S,H6934001_S_Ins5580-R2520-S,laptop,0.0,0.0,0.0
399,G3590-R1740GB,H6934001_S_G3590-R1740GB,laptop,0.0,0.0,0.0
400,Dell G3 15 遊戲專用筆記型電腦 G3590-R1540GB,H6934001_S_G3590-R1540GB,laptop,0.0,0.0,0.0
401,XPS13-7390-R1700L-W,H6934001_S_XPS13-7390-R1700L-W,laptop,0.0,0.0,0.0
402,Dell G5 15 遊戲專用筆記型電腦 G5-R1762C,H6934001_S_G5590-R1762C,laptop,0.0,0.0,0.0
403,ins7591-R1540,H6934001_S_ins7591-R1540,laptop,0.0,0.0,0.0
404,"E559K501 日本制造15.6""全高清 手提電腦 i5-8265U 8GB 512GB SSD Win10 Home",H0800001_S_E559K501,laptop,0.0,0.0,0.0
405,"E559K503 日本制造15.6""全高清 手提電腦 i5-8265U 12GB 512GB SSD Win10 專業版",H0800001_S_E559K503,laptop,0.0,0.0,0.0
406,"E559K703 日本制造15.6""全高清 手提電腦 i7-8565U 12GB 512GB SSD Win10 專業版",H0800001_S_E559K703,laptop,0.0,0.0,0.0
407,"E559K701 日本制造15.6""全高清 手提電腦 i7-8565U 8GB 512GB SSD Win10 Home",H0800001_S_E559K701,laptop,0.0,0.0,0.0
408,U939K701 終極便攜 13.3吋筆記型電腦,H0800001_S_U939K701,laptop,0.0,0.0,0.0
409,U939XK701 360° Foldable 2 in 1 device 終極便攜 13.3吋筆記型電腦,H0800001_S_U939XK701,laptop,0.0,0.0,0.0
410,Inspiron 14 5000 2 in 1 i7,H6934001_S_Ins5482-R1720T-S-W10,laptop,0.0,0.0,0.0
411,"Lenovo -  Lenovo 聯想 ThinkPad T460S i5-6th 14"" Mon CPU 12GB RAM 256GB SSD 手提電腦 notebook computer [官方認證翻新機] 一年門市保養",H6997001_S_Lenovo_460S,laptop,0.0,0.0,0.0
412,"Lenovo -  Lenovo 聯想 ThinkPad T530 i7-3th 15.6"" Mon CPU 8GB RAM 256GB SSD 手提電腦 notebook computer [官方認證翻新機] 一年門市保養",H6997001_S_Lenovo_530,laptop,0.0,0.0,0.0
413,"Lenovo -  Lenovo 聯想 ThinkPad T440 i5-4th 14"" Mon CPU 8GB RAM 256GB SSD 手提電腦 notebook computer [官方認證翻新機] 一年門市保養",H6997001_S_Lenovo_T440,laptop,0.0,0.0,0.0
414,"Lenovo -  Lenovo 聯想 ThinkPad T430 i5-5th 14"" Mon CPU 8GB RAM 256GB SSD 手提電腦 notebook computer [官方認證翻新機] 一年門市保養",H6997001_S_Lenovo_T450,laptop,0.0,0.0,0.0
415,"Lenovo - 聯想 ThinkPad X240 i5 12.5"" Mon CPU 8GB RAM 180GB SSD 超輕超簿手提電腦notebook computer [認證翻身機]一年保養",H6997001_S_Lenovo_X240_180SSD,laptop,0.0,0.0,0.0
416,"Lenovo -  Lenovo 聯想 ThinkPad X240 i5-4300 12.5"" Mon CPU 8GB RAM 256GB SSD 超輕超簿手提電腦 notebook computer [官方認證翻新機] 一年門市保養",H6997001_S_Lenovo_X240_256SSD,laptop,0.0,0.0,0.0
417,LENOVO IDEACENTRE A340-22ICB (PF0E9006NHH) 桌面電腦 原廠3年上門保養,S1076001_S_31PF0E9006NHH,laptop,0.0,0.0,0.0
418,"IdeaPad S340-14IWL 14"" IPS FHD i5-8265u 8G 256G+1TB MX230-2G Win10 Home",H6603001_S_IdeaPad_S340_14IWL_81N70080HH,laptop,0.0,0.0,0.0
419,"IdeaPad S340-15IWL 15.6"" IPS FHD i5-8265u 8G 256G+1TB MX230-2G Win10 Home",H6603001_S_IdeaPad_S340_15IWL_81N8008BHH,laptop,0.0,0.0,0.0
420,"IdeaPad S540-15IWL 15.6"" IPS FHD i7-8565u 12G 1TB MX250-2G Win10 Home 藍色",H6603001_S_IdeaPad_S540_15IWL_81NE0039HH,laptop,0.0,0.0,0.0
421,"IdeaPad 330S-14IKB 14"" 1920x1080 i3-7020 4G 128G SHARE WIN10 HOME",H6603001_S_Ideapad_330s_14IKB_81F401DHHH,laptop,0.0,0.0,0.0
422,"Ideapad S130-11IGM 11.6"" HD N4100 4G 500G Win10 Home 銀",H6603001_S_IdeaPad_S130_11IGM_81J10014HH,laptop,0.0,0.0,0.0
423,"IdeaPad S340-14IWL 14"" IPS FHD i7-8565u 8H 256G+1TB MX230 Win10 Home",H6603001_S_IdeaPad_S340_14IWL_81N70086HH,laptop,0.0,0.0,0.0
424,"IdeaPad S340-15IWL 15.6"" IPS 1920x1080 i5-8265u 8G 256G+1TB SHARE Win10 Home",H6603001_S_IdeaPad_S340_15IWL_81N80089HH,laptop,0.0,0.0,0.0
425,"IdeaPad S540-15IWL 15.6"" IPS FHD i5-8265u 8G 512G MX250-2G Win10 Home 藍色",H6603001_S_IdeaPad_S540_15IWL_81NE0036HH,laptop,0.0,0.0,0.0
426,"SF314 14"" IPS FHD i5-8265u 8G 128G+1TB SHARE Win10 Home 銀色",H6603001_S_SF314_56_52YM_NXH4CCF001,laptop,0.0,0.0,0.0
427,"SF314 14"" IPS FHD i5-8265u 8G 128G+1TB MX150-2G Win10 Home (銀色)",H6603001_S_SF314_56G_51AX_NXH4LCF001,laptop,0.0,0.0,0.0
428,"SF314 14"" IPS FHD i5-8265u 8G 256G+1TB MX250-2G Win10 Home (玫瑰金)",H6603001_S_SF314_56G_58Z3_NXHBCCF001,laptop,0.0,0.0,0.0
429,"SF514 14"" IPS FHD TOUCH i5-8265u 8G 256G SHARE Win10 Home (藍色)",H6603001_S_SF514_53T_54BM_NXH7HCF001,laptop,0.0,0.0,0.0
430,"SF514 14"" IPS FHD TOUCH i5-8265u 8G 256G SHARE Win10 Home (灰色)",H6603001_S_SF514_53T_505N_NXH7KCF001,laptop,0.0,0.0,0.0
